country,city,is_active,gender,birth_date,salary,has_children,family_status,registration_date,organization_id
Brazil,Okeyview,false,female,2014-10-28,80930,false,divorced,2022-07-18,1
"Northern Mariana Islands",Hauckport,false,male,2007-04-05,91566,true,single,2024-07-30,1
Spain,"East Glen",true,male,2000-07-14,112965,false,single,2025-11-27,1
Guyana,"North Torrey",true,female,1999-04-03,100746,false,divorced,2022-09-15,1
"Cote d'Ivoire","Port Laylafort",false,male,2005-04-04,31676,false,divorced,2026-03-06,1
"American Samoa","West Reinafort",false,female,2004-11-20,63428,true,married,2023-10-16,1
Bangladesh,"Lake Alexa",false,female,2003-06-05,55527,true,single,2025-10-05,1
"Holy See (Vatican City State)",,false,female,1997-07-29,148865,true,married,2023-08-16,1
Qatar,"South Nikolasberg",true,female,2003-02-07,90820,false,single,2024-08-30,1
"French Southern Territories",Gleasonberg,false,male,2012-04-23,78611,false,single,2024-07-07,1
Martinique,Joshuahport,true,female,2003-01-27,86874,false,married,2021-11-24,1
Haiti,"South Lesly",true,male,2015-12-04,57703,true,married,2023-02-25,1
Niger,Gibsonberg,true,female,2005-09-19,61860,true,single,2024-10-31,1
Pakistan,"West Molly",true,female,2004-09-17,90073,false,divorced,2024-04-23,1
"French Southern Territories","North Shea",false,female,2002-02-01,146293,false,married,2023-06-05,1
Malawi,"Port Lisette",false,male,2005-01-18,87412,true,divorced,2022-02-25,1
Austria,"North Efrenton",false,male,1998-11-20,43264,true,married,2022-12-14,1
Monaco,Juniusfort,false,male,2006-02-16,143705,false,divorced,2025-09-02,1
Iraq,"West Caleigh",false,female,2007-08-05,138592,true,single,2023-01-10,1
Zimbabwe,Candicetown,false,female,1999-08-29,114402,false,divorced,2023-12-03,1
Argentina,"Lake Emmanuelside",true,female,2001-01-08,31039,true,single,2021-11-12,1
"Saint Helena","East Gladyce",true,male,2015-01-24,59276,true,divorced,2025-09-05,1
Guatemala,"East Rashadside",false,male,2015-06-28,116810,false,married,2025-11-09,1
Iraq,Parisianton,true,male,1997-07-28,107571,true,divorced,2021-09-04,1
"Burkina Faso",Rasheedborough,true,female,2015-04-05,76744,true,single,2025-03-18,1
"Marshall Islands","Lake Bransonburgh",true,female,2013-10-29,88860,false,single,2023-07-12,1
Nicaragua,Kochmouth,false,male,2003-12-17,56705,true,single,2025-06-14,1
"United States of America",Glenmouth,true,female,2014-02-26,63561,true,divorced,2026-01-18,1
Greece,"East Justiceburgh",false,male,2006-01-28,84509,true,divorced,2021-09-28,1
Jamaica,"New Annabelle",true,male,1998-09-29,106955,true,divorced,2024-09-23,1
"Saint Martin","West Abbeyburgh",false,male,1996-10-02,54685,true,single,2024-03-18,1
"Russian Federation",Bethhaven,false,male,2013-12-26,69563,true,single,2023-04-24,1
Bangladesh,Marcelside,true,female,2015-04-19,20741,false,married,2024-07-22,1
"Saint Kitts and Nevis","South Heavenburgh",true,male,2009-04-12,25985,true,single,2023-08-06,1
Iceland,"Port Kirstenmouth",true,male,2010-11-28,134324,true,single,2025-01-09,1
Comoros,"Port Amberfort",false,male,1998-01-02,76734,false,married,2025-10-16,1
"Marshall Islands","North Timothyside",true,male,2002-09-08,99441,true,married,2026-01-17,1
"South Georgia and the South Sandwich Islands",Marcustown,true,female,2008-01-13,61639,true,divorced,2022-03-04,1
"Puerto Rico",Arjunport,false,female,2013-07-27,64161,false,married,2024-11-20,1
Mali,Maximeside,true,female,2005-12-20,49614,false,married,2024-07-26,1
"Sri Lanka","Lake Antonietta",false,male,1996-09-02,113909,false,married,2021-11-14,1
Germany,Medhurstbury,false,male,2010-05-02,144178,false,married,2021-08-28,1
Turkey,Darwinville,true,male,1999-10-21,68720,false,single,2025-12-07,1
Tanzania,"Lake Hazleside",true,male,2015-08-04,119913,true,single,2021-10-25,1
"Saint Barthelemy",Zulaufburgh,false,male,2006-02-02,136725,false,single,2025-02-08,1
Swaziland,Stoneburgh,false,female,1999-04-17,31132,false,married,2025-06-26,1
Korea,Gislasonmouth,false,female,2009-04-23,98170,true,single,2026-03-13,1
Greenland,Daltonhaven,false,female,2009-01-13,69821,false,single,2024-01-20,1
Swaziland,"South Shaunmouth",true,male,2004-05-13,139795,true,divorced,2024-07-28,1
"French Guiana",Bergstromhaven,true,male,2005-10-30,134699,false,single,2024-05-03,1
Bhutan,"West Joesph",false,female,2007-04-09,128047,true,married,2022-03-13,1
Poland,Elisabethmouth,true,female,2015-03-20,141369,true,married,2023-09-09,1
Anguilla,Mooreview,true,male,2015-05-20,68229,true,married,2022-03-03,1
Armenia,Jaclynview,true,male,1998-05-21,60906,true,single,2025-12-26,1
Iceland,VonRuedenburgh,true,female,1998-01-08,45529,false,divorced,2024-04-12,1
Jamaica,Hudsonborough,true,female,2006-09-21,128770,false,single,2025-02-15,1
"British Virgin Islands",Beattymouth,true,male,2001-05-15,83324,true,divorced,2026-01-29,1
Benin,"West Pearlberg",true,female,2008-12-12,48951,true,single,2023-08-13,1
"Czech Republic","South Marlin",false,male,2015-08-04,38202,false,married,2023-06-01,1
"Saint Martin",Talonton,false,male,2002-03-19,29566,false,married,2026-06-16,1
Kenya,Cynthiabury,true,male,2006-02-18,33533,false,married,2026-01-27,1
Monaco,"West Yazminborough",true,female,2002-10-27,147522,true,married,2023-01-12,1
Belize,"East Wileyfurt",false,male,2011-09-27,107054,false,married,2024-08-29,1
Ukraine,"New Rhea",true,female,2011-11-17,89397,false,divorced,2025-11-08,1
Monaco,"North Brice",true,female,2008-11-12,119960,true,divorced,2023-07-07,1
Germany,Collinsside,false,male,1998-02-12,61959,true,single,2022-03-22,1
Nicaragua,Rutherfordport,false,female,2002-03-31,24922,true,single,2023-01-18,1
"French Southern Territories",Anibalstad,false,male,2005-11-07,95120,true,single,2021-12-03,1
Guyana,Cassinmouth,false,male,2011-10-07,111421,true,married,2023-02-16,1
Italy,Enosburgh,true,male,2011-11-21,59637,false,married,2025-05-23,1
"Trinidad and Tobago","Lake Gwen",false,female,2007-11-14,32581,true,single,2022-04-17,1
Portugal,Hermanville,true,male,2002-02-03,144606,false,divorced,2022-04-14,1
Japan,Whiteberg,true,female,2005-12-04,81725,false,divorced,2025-07-30,1
Ethiopia,Armstrongfort,false,male,2008-06-02,47161,false,divorced,2023-07-29,1
"New Zealand","South Hoyt",false,male,2001-01-21,134530,true,single,2023-05-09,1
Swaziland,"East Sebastian",true,male,2007-09-21,107349,false,married,2025-11-01,1
Andorra,"East Mariahton",false,female,2016-01-22,133029,false,married,2026-04-01,1
Algeria,Leuschkeside,false,male,2007-07-01,72780,false,married,2026-04-27,1
Suriname,"West Boris",false,female,2007-01-22,36741,true,single,2022-10-11,1
Australia,Carolannechester,true,male,2007-07-05,31415,true,single,2025-01-07,1
Singapore,Rorybury,true,female,2008-09-06,100497,false,married,2024-08-24,1
Georgia,Fritschborough,false,male,1997-02-25,112715,false,married,2024-02-16,1
Belarus,"Lake Fred",true,female,2015-05-31,46073,true,divorced,2022-08-17,1
